id,reservationid,orderid,crmid,timestamp,orderType,productsku,hotelCheckInUnix,hotelCheckOutUnix,hotelCheckInTS,hotelCheckOutTS,hotelName,hotelChain,hotelLocation,hotelRoomType,hotelRoomCount,hotelGuestAdultCount,hotelGuestChildCount,hotelNightCount,hotelRoomPrice,hotelFinalPrice
orderid:816190,V1G-1SGM,orderid:816190,crmid:8292984756,2020-01-10T03:15:35.000Z,kiosk,prd1053,1580786135,1582082135,2020-02-04T03:15:35+00:00,2020-02-19T03:15:35+00:00,Sapphire Suites: Cleveland,Sapphire Suites,Cleveland,standard,1,1,0,15,153.02,2295.3
orderid:531572,OIO-PO6P,orderid:531572,crmid:8511879021,2019-12-10T17:00:29.000Z,call center,prd1052,1577638829,1578070829,2019-12-29T17:00:29+00:00,2020-01-03T17:00:29+00:00,Aspen Heights: Wichita,Aspen Heights,Wichita,luxury,1,1,1,5,285.11,1425.55
orderid:473682,QRU-7MEO,orderid:473682,crmid:7580388360,2019-12-21T21:46:30.000Z,website,prd1141,1579038390,1579556790,2020-01-14T21:46:30+00:00,2020-01-20T21:46:30+00:00,Admiralty Plaza: Phoenix,Admiralty Plaza,Phoenix,premium,1,1,0,6,100.67,604.02
orderid:140360,1CE-MAWE,orderid:140360,crmid:1626783213,2020-02-08T17:43:32.000Z,website,prd1179,1583689412,1583948612,2020-03-08T17:43:32+00:00,2020-03-11T17:43:32+00:00,Hospitality Inn: Miami,Hospitality Inn,Miami,standard,1,1,2,3,136.41,409.23
orderid:744088,WFE-YSL4,orderid:744088,crmid:4095773204,2019-12-01T02:54:48.000Z,website,prd1033,1576464888,1576637688,2019-12-16T02:54:48+00:00,2019-12-18T02:54:48+00:00,Admiralty Plaza: Milwaukee,Admiralty Plaza,Milwaukee,premium,1,1,0,2,126.0,252.0
orderid:300857,UOV-EQ5P,orderid:300857,crmid:2422999046,2020-01-26T22:24:29.000Z,call center,prd1014,1580250269,1580682269,2020-01-28T22:24:29+00:00,2020-02-02T22:24:29+00:00,Restful Nights: Jacksonville,Restful Nights,Jacksonville,premium,1,1,0,5,167.44,837.2
orderid:255397,GFI-JD9V,orderid:255397,crmid:2422999046,2020-02-03T00:00:00.000Z,kiosk,prd1167,1580860800,1580947200,2020-02-05T00:00:00+00:00,2020-02-06T00:00:00+00:00,Hospitality Inn: Milwaukee,Hospitality Inn,Milwaukee,standard,1,1,0,1,116.69,116.69
orderid:147230,YNL-QAEW,orderid:147230,crmid:2422999046,2020-02-07T00:00:00.000Z,call center,prd1063,1581120000,1581379200,2020-02-08T00:00:00+00:00,2020-02-11T00:00:00+00:00,Family Fun Hotels: London,Family Fun Hotels,London,standard,1,1,0,3,143.99,431.97
orderid:238585,YIM-3IKW,orderid:238585,crmid:2422999046,2020-02-13T00:00:00.000Z,mobile,prd1196,1581638400,1581811200,2020-02-14T00:00:00+00:00,2020-02-16T00:00:00+00:00,Aspen Heights: Moscow,Aspen Heights,Moscow,premium,1,1,0,2,96.05,192.1
orderid:941035,IW9-9RJN,orderid:941035,crmid:2422999046,2020-02-17T00:00:00.000Z,mobile,prd1005,1581984000,1582070400,2020-02-18T00:00:00+00:00,2020-02-19T00:00:00+00:00,Sapphire Suites: Los Angeles,Sapphire Suites,Los Angeles,standard,1,1,0,1,131.57,131.57
orderid:127589,AL2-ORGI,orderid:127589,crmid:4542921296,2020-01-31T08:14:13.000Z,website,prd1014,1580544853,1580631253,2020-02-01T08:14:13+00:00,2020-02-02T08:14:13+00:00,Restful Nights: Jacksonville,Restful Nights,Jacksonville,standard,1,1,0,1,165.73,165.73
orderid:350968,SOS-ZNBI,orderid:350968,crmid:7634377788,2019-12-09T09:49:28.000Z,call center,prd1071,1575971368,1576316968,2019-12-10T09:49:28+00:00,2019-12-14T09:49:28+00:00,Hospitality Inn: Seoul,Hospitality Inn,Seoul,standard,1,1,0,4,117.18,468.72
orderid:100931,N1E-LE0S,orderid:100931,crmid:3771403219,2020-01-19T00:35:33.000Z,kiosk,prd1149,1581122133,1581813333,2020-02-08T00:35:33+00:00,2020-02-16T00:35:33+00:00,Sapphire Suites: San Francisco,Sapphire Suites,San Francisco,standard,1,1,0,8,126.73,1013.84
orderid:205377,QPS-XMOA,orderid:205377,crmid:4716069304,2020-01-04T23:37:26.000Z,website,prd1148,1580341046,1580945846,2020-01-29T23:37:26+00:00,2020-02-05T23:37:26+00:00,Aspen Heights: Jacksonville,Aspen Heights,Jacksonville,premium,1,1,0,7,147.01,1029.07
orderid:778099,FTC-FRZP,orderid:778099,crmid:9966020692,2019-12-08T17:01:38.000Z,website,prd1043,1577811698,1578934898,2019-12-31T17:01:38+00:00,2020-01-13T17:01:38+00:00,Nesting Box Inn: Raleigh,Nesting Box Inn,Raleigh,standard,1,1,3,13,126.43,1643.59
