id,reservationid,orderid,crmid,timestamp,orderType,productsku,hotelCheckInUnix,hotelCheckOutUnix,hotelCheckInTS,hotelCheckOutTS,hotelName,hotelChain,hotelLocation,hotelRoomType,hotelRoomCount,hotelGuestAdultCount,hotelGuestChildCount,hotelNightCount,hotelRoomPrice,hotelFinalPrice
c389e728-53c8-11ea-8a70-b88a60e194fb,6LX-7BAH,orderid:754960,crmid:8147048263,2019-12-05T04:38:10.000Z,kiosk,prd1058,1575607090,1575952690,2019-12-06T04:38:10+00:00,2019-12-10T04:38:10+00:00,Blue Reef Resort: Delhi,Blue Reef Resort,Delhi,presidential-suite,1,1,0,4,935.36,3741.44
c38a0e00-53c8-11ea-8ec2-b88a60e194fb,YWQ-VMBA,orderid:884023,crmid:6575141291,2020-02-13T23:54:45.000Z,kiosk,prd1081,1581897285,1582329285,2020-02-16T23:54:45+00:00,2020-02-21T23:54:45+00:00,Admiralty Plaza: Rod de Janeiro,Admiralty Plaza,Rod de Janeiro,premium,1,1,0,5,150.88,754.4
c38a0e01-53c8-11ea-89c3-b88a60e194fb,MHN-KNR2,orderid:477736,crmid:1787398417,2020-01-17T12:24:05.000Z,kiosk,prd1143,1581855845,1582115045,2020-02-16T12:24:05+00:00,2020-02-19T12:24:05+00:00,Hospitality Inn: San Antonio,Hospitality Inn,San Antonio,standard,1,1,0,3,180.83,542.49
c38a3666-53c8-11ea-bc59-b88a60e194fb,CTP-UFJJ,orderid:125772,crmid:6712587503,2020-01-11T07:57:15.000Z,kiosk,prd1057,1580803035,1581407835,2020-02-04T07:57:15+00:00,2020-02-11T07:57:15+00:00,Admiralty Plaza: Mumbai,Admiralty Plaza,Mumbai,standard,1,1,4,7,141.18,988.26
c38a3667-53c8-11ea-adac-b88a60e194fb,IEQ-KV4Z,orderid:209649,crmid:4457777589,2020-01-31T14:36:31.000Z,website,prd1007,1580654191,1580826991,2020-02-02T14:36:31+00:00,2020-02-04T14:36:31+00:00,Nesting Box Inn: Phoenix,Nesting Box Inn,Phoenix,premium,1,1,0,2,115.02,230.04
c38a5d62-53c8-11ea-b8c7-b88a60e194fb,JOB-M1MU,orderid:854378,crmid:7331343578,2020-01-06T12:27:58.000Z,call center,prd1148,1579004878,1579350478,2020-01-14T12:27:58+00:00,2020-01-18T12:27:58+00:00,Aspen Heights: Jacksonville,Aspen Heights,Jacksonville,standard,1,1,4,4,140.92,563.68
c38a5d63-53c8-11ea-a8c1-b88a60e194fb,SFT-AZYL,orderid:523014,crmid:9618212469,2020-02-06T02:58:19.000Z,call center,prd1144,1583117899,1583636299,2020-03-02T02:58:19+00:00,2020-03-08T02:58:19+00:00,Sandhill: San Diego,Sandhill,San Diego,standard,1,1,3,6,115.39,692.34
c38a846e-53c8-11ea-9f73-b88a60e194fb,U3X-GNGQ,orderid:964960,crmid:9256697226,2020-01-11T14:06:18.000Z,call center,prd1117,1580911578,1582466778,2020-02-05T14:06:18+00:00,2020-02-23T14:06:18+00:00,Admiralty Plaza: Dublin,Admiralty Plaza,Dublin,premium,1,1,0,18,160.07,2881.26
c38aab8a-53c8-11ea-ba02-b88a60e194fb,GO2-XMBG,orderid:848443,crmid:4703052064,2019-12-26T01:27:51.000Z,mobile,prd1086,1577410071,1577842071,2019-12-27T01:27:51+00:00,2020-01-01T01:27:51+00:00,Restful Nights: Johannesburg,Restful Nights,Johannesburg,standard,1,1,0,5,168.29,841.45
c38aab8b-53c8-11ea-894b-b88a60e194fb,1A2-7KK5,orderid:392385,crmid:1332254898,2019-12-01T01:02:26.000Z,kiosk,prd1040,1575334946,1575594146,2019-12-03T01:02:26+00:00,2019-12-06T01:02:26+00:00,Aspen Heights: Atlanta,Aspen Heights,Atlanta,standard,1,1,0,3,116.8,350.4
