id,callstarttime,crmid,callid,callcentername,callagentid,callselectedreason,calllength,callendtime,callsurveyscore
734445146,2020-02-09T05:01:05+00:00,crmid:2646183,734445146,callcenter:6,agentid:656,Reservation Change,303,2020-02-09T04:59:47.000Z,7
226338852,2020-02-10T05:22:27+00:00,crmid:6284782,226338852,callcenter:3,agentid:340,Reservation Place Booking,832,2020-02-10T05:20:54.000Z,5
745654295,2020-02-10T01:27:01+00:00,crmid:9016260,745654295,callcenter:6,agentid:699,Payment Issue,59,2020-02-10T01:22:16.000Z,6
533706887,2020-02-11T02:14:59+00:00,crmid:5258482,533706887,callcenter:3,agentid:332,Payment Issue,575,2020-02-11T02:17:59.000Z,1
316989932,2020-02-08T12:06:08+00:00,crmid:3779572,316989932,callcenter:1,agentid:112,Reservation Change,658,2020-02-08T12:10:47.000Z,
154059721,2020-02-11T19:07:10+00:00,crmid:5564010,154059721,callcenter:1,agentid:112,Account Question,531,2020-02-11T19:09:32.000Z,6
605452470,2020-02-11T05:07:16+00:00,crmid:5693321,605452470,callcenter:5,agentid:517,Website Issue,506,2020-02-11T05:10:08.000Z,7
504847515,2020-02-10T19:40:10+00:00,crmid:7624514,504847515,callcenter:5,agentid:596,Payment Issue,251,2020-02-10T19:37:31.000Z,7
266051209,2020-02-11T16:06:19+00:00,crmid:2370375,266051209,callcenter:2,agentid:211,Reservation Place Booking,1035,2020-02-11T16:17:04.000Z,
649906468,2020-02-10T16:57:13+00:00,crmid:5726867,649906468,callcenter:3,agentid:355,Account Issue,2683,2020-02-10T17:35:13.000Z,
179216587,2020-02-11T00:25:35+00:00,crmid:5828885,179216587,callcenter:5,agentid:511,Account Issue,465,2020-02-11T00:21:23.000Z,4
894225330,2020-02-10T20:22:25+00:00,crmid:5010456,894225330,callcenter:2,agentid:263,Payment Issue,516,2020-02-10T20:18:02.000Z,
392106158,2020-02-09T13:22:14+00:00,crmid:1204553,392106158,callcenter:1,agentid:111,Reservation Change,331,2020-02-09T13:22:17.000Z,7
385552404,2020-02-09T12:52:57+00:00,crmid:7658235,385552404,callcenter:4,agentid:472,Reservation Place Booking,976,2020-02-09T13:02:16.000Z,
501149124,2020-02-09T14:09:38+00:00,crmid:6664719,501149124,callcenter:2,agentid:290,Reservation Change,424,2020-02-09T14:12:29.000Z,
600748102,2020-02-11T21:41:43+00:00,crmid:5406437,600748102,callcenter:6,agentid:687,Payment Issue,628,2020-02-11T21:44:54.000Z,
869012992,2020-02-12T00:58:15+00:00,crmid:1856846,869012992,callcenter:1,agentid:185,Reservation Cancel,445,2020-02-12T00:47:14.000Z,1
320079190,2020-02-09T06:35:02+00:00,crmid:5583839,320079190,callcenter:4,agentid:430,Payment Question,940,2020-02-09T06:44:44.000Z,7
620510522,2020-02-10T22:49:25+00:00,crmid:2361410,620510522,callcenter:1,agentid:183,Account Issue,291,2020-02-10T22:45:22.000Z,6
146627505,2020-02-10T04:02:10+00:00,crmid:3046819,146627505,callcenter:1,agentid:152,Payment Question,881,2020-02-10T04:07:57.000Z,3
359608548,2020-02-11T06:24:11+00:00,crmid:8085148,359608548,callcenter:1,agentid:186,Payment Question,566,2020-02-11T06:26:19.000Z,
595410307,2020-02-12T00:20:48+00:00,crmid:9823230,595410307,callcenter:1,agentid:161,Payment Issue,216,2020-02-12T00:17:46.000Z,9
813366758,2020-02-11T03:57:45+00:00,crmid:7268257,813366758,callcenter:4,agentid:447,Account Password Help,223,2020-02-11T03:53:31.000Z,
