id,callstarttime,crmid,callid,callcentername,callagentid,callselectedreason,calllength,callendtime,callsurveyscore
c2279364-53c8-11ea-a9e5-b88a60e194fb,2020-02-09T05:01:05+00:00,crmid:2646183,734445146,callcenter:6,agentid:656,Reservation Change,303,2020-02-09T04:59:47.000Z,7
c2288246-53c8-11ea-83c5-b88a60e194fb,2020-02-10T05:14:09+00:00,crmid:6284782,708909974,callcenter:4,agentid:434,Reservation Change,2497,2020-02-10T05:48:39.000Z,
c2288247-53c8-11ea-bcd5-b88a60e194fb,2020-02-10T03:49:35+00:00,crmid:2985549,901363552,callcenter:5,agentid:546,Reservation Change,34,2020-02-10T03:31:52.000Z,
c2288248-53c8-11ea-8ee3-b88a60e194fb,2020-02-10T01:27:21+00:00,crmid:9016260,799130260,callcenter:6,agentid:671,Payment Issue,874,2020-02-10T01:35:51.000Z,4
c2288249-53c8-11ea-bc7f-b88a60e194fb,2020-02-11T13:06:10+00:00,crmid:6299587,533706887,callcenter:3,agentid:332,Payment Issue,575,2020-02-11T13:09:10.000Z,1
c228a958-53c8-11ea-a559-b88a60e194fb,2020-02-11T02:14:01+00:00,crmid:5258482,317915439,callcenter:1,agentid:111,Reservation Place Booking,984,2020-02-11T02:24:48.000Z,
c228a959-53c8-11ea-a629-b88a60e194fb,2020-02-10T00:59:09+00:00,crmid:6603333,176935712,callcenter:1,agentid:159,Account Password Help,459,2020-02-10T00:59:35.000Z,9
c228d06e-53c8-11ea-abe7-b88a60e194fb,2020-02-11T17:14:47+00:00,crmid:8763667,435233350,callcenter:1,agentid:156,Payment Question,486,2020-02-11T17:15:56.000Z,6
c228d06f-53c8-11ea-a5e0-b88a60e194fb,2020-02-11T19:05:48+00:00,crmid:5564010,504847515,callcenter:5,agentid:596,Account Question,251,2020-02-11T19:04:52.000Z,7
c228d070-53c8-11ea-9da0-b88a60e194fb,2020-02-11T09:31:00+00:00,crmid:8142224,827059084,callcenter:2,agentid:278,Reservation Place Booking,988,2020-02-11T09:34:51.000Z,
c228f776-53c8-11ea-9810-b88a60e194fb,2020-02-08T07:08:28+00:00,crmid:8102681,194236581,callcenter:3,agentid:382,Payment Issue,542,2020-02-08T07:11:44.000Z,
c228f777-53c8-11ea-9940-b88a60e194fb,2020-02-11T14:49:18+00:00,crmid:8578404,248772761,callcenter:6,agentid:663,Payment Issue,2224,2020-02-11T15:19:48.000Z,
c228f778-53c8-11ea-a67d-b88a60e194fb,2020-02-11T20:30:07+00:00,crmid:5193401,475750463,callcenter:4,agentid:449,Account Issue,317,2020-02-11T20:28:28.000Z,
c2291e82-53c8-11ea-9441-b88a60e194fb,2020-02-10T19:22:41+00:00,crmid:8413892,195861160,callcenter:2,agentid:261,Account Cancelation,548,2020-02-10T19:24:24.000Z,
c2291e83-53c8-11ea-8eda-b88a60e194fb,2020-02-10T20:14:58+00:00,crmid:5010456,338838531,callcenter:5,agentid:551,Payment Question,431,2020-02-10T20:16:37.000Z,
c2291e84-53c8-11ea-b32a-b88a60e194fb,2020-02-10T11:20:54+00:00,crmid:8468764,651929277,callcenter:1,agentid:150,Reservation Place Booking,1049,2020-02-10T11:32:09.000Z,
c2294592-53c8-11ea-a821-b88a60e194fb,2020-02-09T12:51:28+00:00,crmid:7658235,216294041,callcenter:4,agentid:485,Reservation Place Booking,981,2020-02-09T13:02:21.000Z,1
c2294593-53c8-11ea-aa4f-b88a60e194fb,2020-02-11T12:10:52+00:00,crmid:8889344,320079190,callcenter:4,agentid:430,Payment Question,940,2020-02-11T12:20:34.000Z,7
c2294594-53c8-11ea-9449-b88a60e194fb,2020-02-11T21:43:15+00:00,crmid:5406437,620510522,callcenter:1,agentid:183,Account Issue,291,2020-02-11T21:39:17.000Z,6
c2296ca6-53c8-11ea-b88f-b88a60e194fb,2020-02-10T22:49:25+00:00,crmid:2361410,146627505,callcenter:1,agentid:152,Payment Question,881,2020-02-10T22:55:12.000Z,3
c2296ca7-53c8-11ea-957f-b88a60e194fb,2020-02-09T14:44:03+00:00,crmid:4774632,102791404,callcenter:2,agentid:276,Website Question,445,2020-02-09T14:45:11.000Z,8
c2296ca8-53c8-11ea-9d7b-b88a60e194fb,2020-02-09T22:03:48+00:00,crmid:9873373,589661221,callcenter:1,agentid:171,Account Issue,529,2020-02-09T22:06:11.000Z,
c22993b0-53c8-11ea-b83e-b88a60e194fb,2020-02-10T03:58:41+00:00,crmid:3046819,553777207,callcenter:3,agentid:370,Account Cancelation,716,2020-02-10T04:05:12.000Z,
c22993b1-53c8-11ea-80a7-b88a60e194fb,2020-02-11T00:58:31+00:00,crmid:2685167,298797584,callcenter:6,agentid:668,Account Password Help,158,2020-02-11T00:54:11.000Z,
c22993b2-53c8-11ea-993b-b88a60e194fb,2020-02-09T14:23:47+00:00,crmid:6668681,905747293,callcenter:6,agentid:685,Account Password Help,783,2020-02-09T14:31:32.000Z,9
c229bac2-53c8-11ea-9ffb-b88a60e194fb,2020-02-09T12:41:02+00:00,crmid:9987996,587700373,callcenter:2,agentid:221,Reservation Place Booking,1043,2020-02-09T12:52:03.000Z,2
c229bac3-53c8-11ea-8e81-b88a60e194fb,2020-02-10T19:19:56+00:00,crmid:4819216,844546811,callcenter:3,agentid:389,Reservation Place Booking,937,2020-02-10T19:29:40.000Z,8
c229e1d2-53c8-11ea-9981-b88a60e194fb,2020-02-09T08:36:39+00:00,crmid:2618395,243851930,callcenter:3,agentid:343,Reservation Place Booking,738,2020-02-09T08:42:42.000Z,2
c229e1d3-53c8-11ea-b942-b88a60e194fb,2020-02-10T10:23:39+00:00,crmid:5629148,988693354,callcenter:1,agentid:174,Reservation Cancel,377,2020-02-10T10:24:11.000Z,6
