id,crmid,propensity_account_upgrade,propensity_premium
7d2e2818-7a33-11ea-9f76-b88a60e194fb,crmid:9238484,2,2
7d3358ec-7a33-11ea-aecc-b88a60e194fb,crmid:6882489,7,5
7d33ce3a-7a33-11ea-80c0-b88a60e194fb,crmid:4229830,7,4
7d341c64-7a33-11ea-a182-b88a60e194fb,crmid:9061238,9,9
7d349128-7a33-11ea-855f-b88a60e194fb,crmid:8388943,9,4
7d352dd2-7a33-11ea-b44b-b88a60e194fb,crmid:8127122,5,4
7d357c10-7a33-11ea-84ee-b88a60e194fb,crmid:8442984,7,2
7d35effe-7a33-11ea-a047-b88a60e194fb,crmid:2487126,4,7
7d366524-7a33-11ea-820a-b88a60e194fb,crmid:2400159,5,6
7d36b34a-7a33-11ea-bc76-b88a60e194fb,crmid:4371999,4,5
7d370162-7a33-11ea-bc39-b88a60e194fb,crmid:1988882,8,2
7d3777c2-7a33-11ea-adf3-b88a60e194fb,crmid:4823105,1,7
7d37c5d8-7a33-11ea-9b8b-b88a60e194fb,crmid:6483716,4,3
7d383b1c-7a33-11ea-a1ad-b88a60e194fb,crmid:9180620,4,7
7d38893a-7a33-11ea-b310-b88a60e194fb,crmid:3454084,5,3
7d38d740-7a33-11ea-939f-b88a60e194fb,crmid:6885429,5,8
7d39999c-7a33-11ea-bb08-b88a60e194fb,crmid:4022651,1,8
7d3a0ec0-7a33-11ea-a61f-b88a60e194fb,crmid:6432106,9,1
7d3a5cde-7a33-11ea-a885-b88a60e194fb,crmid:6815742,4,8
7d3ad234-7a33-11ea-b063-b88a60e194fb,crmid:4192479,4,7
7d3b2036-7a33-11ea-9536-b88a60e194fb,crmid:8992506,4,1
7d3b96c6-7a33-11ea-8e5d-b88a60e194fb,crmid:6459465,1,7
7d3be3ac-7a33-11ea-b103-b88a60e194fb,crmid:1214869,9,8
7d3c58e8-7a33-11ea-bfd5-b88a60e194fb,crmid:1791017,3,8
7d3ca81e-7a33-11ea-8d60-b88a60e194fb,crmid:1371635,6,6
7d3d1d36-7a33-11ea-b20c-b88a60e194fb,crmid:1342696,4,4
7d3d6b3a-7a33-11ea-97d2-b88a60e194fb,crmid:2770358,4,6
7d3e2dd8-7a33-11ea-8970-b88a60e194fb,crmid:6334369,7,4
7d3e7c2e-7a33-11ea-85c9-b88a60e194fb,crmid:6724204,2,1
7d3ef0c6-7a33-11ea-8926-b88a60e194fb,crmid:6729705,9,7
7d3f4086-7a33-11ea-87b7-b88a60e194fb,crmid:1445681,2,4
7d3f8e34-7a33-11ea-a417-b88a60e194fb,crmid:7631568,6,8
