id,reservationid,orderid,crmid,timestamp,orderType,productsku,hotelCheckInUnix,hotelCheckOutUnix,hotelCheckInTS,hotelCheckOutTS,hotelName,hotelChain,hotelLocation,hotelRoomType,hotelRoomCount,hotelGuestAdultCount,hotelGuestChildCount,hotelNightCount,hotelRoomPrice,hotelFinalPrice
orderid:664748,FCN-VIIF,orderid:664748,crmid:[16D284789AF97C8D],2020-02-15T23:40:2321:44:40.000Z,website,prd1166,1581896423,1582069223,2020-02-16T23:40:23+00:00,2020-02-18T23:40:23+00:00,Blue Reef Resort: Baltimore,Blue Reef Resort,Baltimore,premium,1,1,0,2,125.16,250.32
orderid:646081,ZDM-D8OO,orderid:646081,crmid:8042674775,2020-02-15T23:28:2521:44:40.000Z,website,prd1169,1583537305,1584142105,2020-03-06T23:28:25+00:00,2020-03-13T23:28:25+00:00,Grandeur Hotels: Tucson,Grandeur Hotels,Tucson,standard,1,1,0,7,129.93,909.51
orderid:764522,71Y-IAFO,orderid:764522,crmid:[9E5E23E043E900A],2020-02-15T23:13:5821:44:40.000Z,website,prd1123,1581981238,1582154038,2020-02-17T23:13:58+00:00,2020-02-19T23:13:58+00:00,Family Fun Hotels: Amsterdam,Family Fun Hotels,Amsterdam,standard,1,1,0,2,152.1,304.2
orderid:137109,GEN-CTC1,orderid:137109,crmid:9737416158,2020-02-15T23:11:3821:44:40.000Z,website,prd1118,1583968298,1584400298,2020-03-11T23:11:38+00:00,2020-03-16T23:11:38+00:00,Blue Reef Resort: Cologne,Blue Reef Resort,Cologne,standard,1,1,0,5,141.22,706.1
orderid:714314,CMN-ODHE,orderid:714314,crmid:9000123466,2020-02-15T23:07:1521:44:40.000Z,website,prd1161,1581894435,1581980835,2020-02-16T23:07:15+00:00,2020-02-17T23:07:15+00:00,Sapphire Suites: Memphis,Sapphire Suites,Memphis,standard,1,1,0,1,129.71,129.71
orderid:198068,WUT-3FWK,orderid:198068,crmid:8693229353,2020-02-15T23:04:0921:44:40.000Z,website,prd1016,1583363049,1585004649,2020-03-04T23:04:09+00:00,2020-03-23T23:04:09+00:00,Aspen Heights: Columbus,Aspen Heights,Columbus,premium,1,1,0,19,148.07,2813.33
orderid:669326,GBR-MYTG,orderid:669326,crmid:5918614716,2020-02-15T22:50:1921:44:40.000Z,website,prd1197,1581979819,1582239019,2020-02-17T22:50:19+00:00,2020-02-20T22:50:19+00:00,Sapphire Suites: London,Sapphire Suites,London,standard,1,1,0,3,138.8,416.4
orderid:945958,BTK-A6BD,orderid:945958,crmid:8244425088,2020-02-15T22:45:1221:44:40.000Z,website,prd1105,1584053112,1584657912,2020-03-12T22:45:12+00:00,2020-03-19T22:45:12+00:00,Admiralty Plaza: Barcelona,Admiralty Plaza,Barcelona,standard,1,1,0,7,161.01,1127.07
orderid:102433,IHS-OKWN,orderid:102433,crmid:[295B36ECFFEA532],2020-02-15T22:14:1521:44:40.000Z,website,prd1010,1582064055,1582236855,2020-02-18T22:14:15+00:00,2020-02-20T22:14:15+00:00,Blue Reef Resort: San Diego,Blue Reef Resort,San Diego,standard,1,1,0,2,144.49,288.98
orderid:969097,QI9-KBOK,orderid:969097,crmid:6309644494,2020-02-15T22:08:2621:44:40.000Z,website,prd1121,1582322906,1582409306,2020-02-21T22:08:26+00:00,2020-02-22T22:08:26+00:00,Grandeur Hotels: Stockholm,Grandeur Hotels,Stockholm,standard,1,1,0,1,132.25,132.25
orderid:562299,ZTG-MSHK,orderid:562299,crmid:6671562984,2020-02-15T22:07:0521:44:40.000Z,website,prd1063,1581890825,1581977225,2020-02-16T22:07:05+00:00,2020-02-17T22:07:05+00:00,Family Fun Hotels: London,Family Fun Hotels,London,premium,1,1,0,1,139.6,139.6
orderid:719627,A3P-Q46I,orderid:719627,crmid:[11FB3EA1504E10DE],2020-02-15T22:04:4521:44:40.000Z,website,prd1040,1581890685,1581977085,2020-02-16T22:04:45+00:00,2020-02-17T22:04:45+00:00,Aspen Heights: Atlanta,Aspen Heights,Atlanta,standard,1,1,0,1,164.01,164.01
orderid:279181,1TH-KH15,orderid:279181,crmid:4801177934,2020-02-15T22:03:2021:44:40.000Z,website,prd1156,1581890600,1582063400,2020-02-16T22:03:20+00:00,2020-02-18T22:03:20+00:00,Sandhill: Washington DC,Sandhill,Washington DC,standard,1,1,0,2,168.06,336.12
orderid:680758,PSV-D3YO,orderid:680758,crmid:5094454870,2020-02-15T22:02:5421:44:40.000Z,website,prd1137,1581890574,1582149774,2020-02-16T22:02:54+00:00,2020-02-19T22:02:54+00:00,Sapphire Suites: Manila,Sapphire Suites,Manila,standard,1,1,0,3,121.62,364.86
orderid:595676,ASY-71UQ,orderid:595676,crmid:[23F683DBA784771],2020-02-15T22:01:1321:44:40.000Z,website,prd1021,1583877673,1584396073,2020-03-10T22:01:13+00:00,2020-03-16T22:01:13+00:00,Admiralty Plaza: Denver,Admiralty Plaza,Denver,standard,1,1,0,6,184.15,1104.9
orderid:515849,WW5-8H8I,orderid:515849,crmid:6492976828,2020-02-15T21:56:4721:44:40.000Z,website,prd1118,1581890207,1582149407,2020-02-16T21:56:47+00:00,2020-02-19T21:56:47+00:00,Blue Reef Resort: Cologne,Blue Reef Resort,Cologne,standard,1,1,0,3,131.94,395.82
orderid:404001,NWB-WVRW,orderid:404001,crmid:5927707306,2020-02-15T21:48:4321:44:40.000Z,website,prd1160,1581889723,1581976123,2020-02-16T21:48:43+00:00,2020-02-17T21:48:43+00:00,Aspen Heights: Nashville,Aspen Heights,Nashville,standard,1,1,0,1,86.2,86.2
