id,reservationid,orderid,crmid,timestamp,orderType,productsku,hotelCheckInUnix,hotelCheckOutUnix,hotelCheckInTS,hotelCheckOutTS,hotelName,hotelChain,hotelLocation,hotelRoomType,hotelRoomCount,hotelGuestAdultCount,hotelGuestChildCount,hotelNightCount,hotelRoomPrice,hotelFinalPrice
c2bbe876-53c8-11ea-98a7-b88a60e194fb,RNE-KGWC,orderid:907293,crmid:[16D284789AF97C8D],2020-02-15T23:40:23.000Z,website,prd1043,1581896423,1582069223,2020-02-16T23:40:23+00:00,2020-02-18T23:40:23+00:00,Nesting Box Inn: Raleigh,Nesting Box Inn,Raleigh,premium,1,1,0,2,88.09,176.18
c2bc36cc-53c8-11ea-a3d8-b88a60e194fb,VRJ-VOSY,orderid:913843,crmid:8042674775,2020-02-15T23:28:25.000Z,website,prd1034,1581895705,1582068505,2020-02-16T23:28:25+00:00,2020-02-18T23:28:25+00:00,Blue Reef Resort: Albuquerque,Blue Reef Resort,Albuquerque,standard,1,1,0,2,126.42,252.84
c2bc5ddc-53c8-11ea-96a8-b88a60e194fb,8P5-JDOS,orderid:262195,crmid:[9E5E23E043E900A],2020-02-15T23:13:58.000Z,website,prd1058,1582067638,1582154038,2020-02-18T23:13:58+00:00,2020-02-19T23:13:58+00:00,Blue Reef Resort: Delhi,Blue Reef Resort,Delhi,luxury,1,1,0,1,304.98,304.98
c2bc84e6-53c8-11ea-b8d9-b88a60e194fb,86P-LANB,orderid:979006,crmid:9737416158,2020-02-15T23:11:38.000Z,website,prd1057,1581894698,1582067498,2020-02-16T23:11:38+00:00,2020-02-18T23:11:38+00:00,Admiralty Plaza: Mumbai,Admiralty Plaza,Mumbai,standard,1,1,0,2,169.21,338.42
c2bcabfa-53c8-11ea-bf38-b88a60e194fb,JPE-GN9Z,orderid:131167,crmid:9000123466,2020-02-15T23:07:15.000Z,website,prd1043,1583708835,1584313635,2020-03-08T23:07:15+00:00,2020-03-15T23:07:15+00:00,Nesting Box Inn: Raleigh,Nesting Box Inn,Raleigh,standard,1,1,0,7,166.34,1164.38
c2bcd30c-53c8-11ea-8989-b88a60e194fb,6DJ-GCAZ,orderid:958783,crmid:8693229353,2020-02-15T23:04:09.000Z,website,prd1093,1581980649,1582239849,2020-02-17T23:04:09+00:00,2020-02-20T23:04:09+00:00,Admiralty Plaza: Yokohama,Admiralty Plaza,Yokohama,standard,1,1,0,3,146.4,439.2
c2bcd30d-53c8-11ea-9bd6-b88a60e194fb,KMQ-KAEB,orderid:762215,crmid:5918614716,2020-02-15T22:50:19.000Z,website,prd1166,1583967019,1584399019,2020-03-11T22:50:19+00:00,2020-03-16T22:50:19+00:00,Blue Reef Resort: Baltimore,Blue Reef Resort,Baltimore,premium,1,1,0,5,89.64,448.2
c2bcfaa4-53c8-11ea-ab9a-b88a60e194fb,P94-I5KN,orderid:586481,crmid:8244425088,2020-02-15T22:45:12.000Z,website,prd1166,1583966712,1584398712,2020-03-11T22:45:12+00:00,2020-03-16T22:45:12+00:00,Blue Reef Resort: Baltimore,Blue Reef Resort,Baltimore,premium,1,1,0,5,112.59,562.95
c2bd2126-53c8-11ea-9a50-b88a60e194fb,TZA-11LD,orderid:642796,crmid:[295B36ECFFEA532],2020-02-15T22:14:15.000Z,website,prd1129,1583273655,1583792055,2020-03-03T22:14:15+00:00,2020-03-09T22:14:15+00:00,Admiralty Plaza: Helsinki,Admiralty Plaza,Helsinki,premium,1,1,0,6,156.55,939.3
c2bd4838-53c8-11ea-b683-b88a60e194fb,MMG-BCVX,orderid:782405,crmid:6309644494,2020-02-15T22:08:26.000Z,website,prd1129,1581890906,1581977306,2020-02-16T22:08:26+00:00,2020-02-17T22:08:26+00:00,Admiralty Plaza: Helsinki,Admiralty Plaza,Helsinki,standard,1,1,0,1,117.86,117.86
c2bd6fa4-53c8-11ea-bbd3-b88a60e194fb,BAK-WHMM,orderid:886666,crmid:6671562984,2020-02-15T22:07:05.000Z,website,prd1149,1584137225,1584655625,2020-03-13T22:07:05+00:00,2020-03-19T22:07:05+00:00,Sapphire Suites: San Francisco,Sapphire Suites,San Francisco,ultra-luxury,1,1,0,6,292.55,1755.3
c2bd962c-53c8-11ea-94ca-b88a60e194fb,XTW-ZVQR,orderid:154504,crmid:[11FB3EA1504E10DE],2020-02-15T22:04:45.000Z,website,prd1004,1581977085,1582409085,2020-02-17T22:04:45+00:00,2020-02-22T22:04:45+00:00,Aspen Heights: Boulder,Aspen Heights,Boulder,standard,1,1,0,5,156.25,781.25
c2bdbdc6-53c8-11ea-a7ab-b88a60e194fb,UDE-C95G,orderid:526467,crmid:4801177934,2020-02-15T22:03:20.000Z,website,prd1027,1582841000,1582927400,2020-02-27T22:03:20+00:00,2020-02-28T22:03:20+00:00,Family Fun Hotels: Memphis,Family Fun Hotels,Memphis,standard,1,1,0,1,100.14,100.14
c2bdbdc7-53c8-11ea-99fe-b88a60e194fb,VSX-4CID,orderid:289749,crmid:5094454870,2020-02-15T22:02:54.000Z,website,prd1023,1583791374,1584396174,2020-03-09T22:02:54+00:00,2020-03-16T22:02:54+00:00,Hospitality Inn: Boston,Hospitality Inn,Boston,standard,1,1,0,7,162.49,1137.43
c2bde44a-53c8-11ea-9087-b88a60e194fb,AP2-LSJ4,orderid:880367,crmid:[23F683DBA784771],2020-02-15T22:01:13.000Z,website,prd1045,1582063273,1582236073,2020-02-18T22:01:13+00:00,2020-02-20T22:01:13+00:00,Admiralty Plaza: Miami,Admiralty Plaza,Miami,standard,1,1,0,2,105.43,210.86
c2be0bcc-53c8-11ea-a650-b88a60e194fb,6JX-FVNG,orderid:463953,crmid:6492976828,2020-02-15T21:56:47.000Z,website,prd1062,1581890207,1582063007,2020-02-16T21:56:47+00:00,2020-02-18T21:56:47+00:00,Restful Nights: Moscow,Restful Nights,Moscow,premium,1,1,0,2,154.78,309.56
c2be0bcd-53c8-11ea-b2d8-b88a60e194fb,GNK-D8K8,orderid:397280,crmid:5927707306,2020-02-15T21:48:43.000Z,website,prd1069,1581976123,1582062523,2020-02-17T21:48:43+00:00,2020-02-18T21:48:43+00:00,Admiralty Plaza: Singapore,Admiralty Plaza,Singapore,standard,1,1,0,1,133.86,133.86
c2be3264-53c8-11ea-9a51-b88a60e194fb,MFG-FXDN,orderid:629973,crmid:8851387354,2020-02-15T21:45:55.000Z,website,prd1190,1581889555,1581975955,2020-02-16T21:45:55+00:00,2020-02-17T21:45:55+00:00,Blue Reef Resort: Aurora,Blue Reef Resort,Aurora,standard,1,1,0,1,161.42,161.42
c2be3265-53c8-11ea-a93e-b88a60e194fb,VMQ-UKT7,orderid:540298,crmid:5083577770,2020-02-15T21:40:21.000Z,website,prd1075,1582062021,1582234821,2020-02-18T21:40:21+00:00,2020-02-20T21:40:21+00:00,Family Fun Hotels: Bangalore,Family Fun Hotels,Bangalore,standard,1,1,0,2,167.59,335.18
c2be5974-53c8-11ea-a4a3-b88a60e194fb,LMQ-PJK6,orderid:599352,crmid:9067351181,2020-02-15T21:36:27.000Z,website,prd1157,1581975387,1582407387,2020-02-17T21:36:27+00:00,2020-02-22T21:36:27+00:00,Grandeur Hotels: Boston,Grandeur Hotels,Boston,standard,1,1,0,5,155.15,775.75
c2be5975-53c8-11ea-ae87-b88a60e194fb,QEY-DIEC,orderid:882331,crmid:5457122439,2020-02-15T21:36:22.000Z,website,prd1053,1583876182,1584740182,2020-03-10T21:36:22+00:00,2020-03-20T21:36:22+00:00,Sapphire Suites: Cleveland,Sapphire Suites,Cleveland,standard,1,1,2,10,135.4,1354.0
c2be8088-53c8-11ea-bc2e-b88a60e194fb,F2J-OHRU,orderid:535694,crmid:6516551197,2020-02-15T21:13:47.000Z,website,prd1064,1582838027,1584306827,2020-02-27T21:13:47+00:00,2020-03-15T21:13:47+00:00,Aspen Heights: Paris,Aspen Heights,Paris,standard,1,1,0,17,163.46,2778.82
c2bea798-53c8-11ea-85ce-b88a60e194fb,KV8-F7W3,orderid:953528,crmid:8425375215,2020-02-15T21:06:36.000Z,website,prd1179,1581973596,1582405596,2020-02-17T21:06:36+00:00,2020-02-22T21:06:36+00:00,Hospitality Inn: Miami,Hospitality Inn,Miami,luxury,1,1,0,5,262.29,1311.45
c2bea799-53c8-11ea-96e6-b88a60e194fb,IFK-MPZJ,orderid:873160,crmid:6434180051,2020-02-15T20:59:21.000Z,website,prd1154,1581886761,1582232361,2020-02-16T20:59:21+00:00,2020-02-20T20:59:21+00:00,Blue Reef Resort: Seattle,Blue Reef Resort,Seattle,standard,1,1,0,4,152.1,608.4
